2016-07-19 20:39:33 status unpacked libsmartcols1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:33 install libss2:arm64 <none> 1.42.13-1ubuntu1
2016-07-19 20:39:33 status half-installed libss2:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:33 status unpacked libss2:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:33 status unpacked libss2:arm64 1.42.13-1ubuntu1
2016-07-19 20:39:33 install libsystemd0:arm64 <none> 229-4ubuntu4
2016-07-19 20:39:33 status half-installed libsystemd0:arm64 229-4ubuntu4
2016-07-19 20:39:33 status unpacked libsystemd0:arm64 229-4ubuntu4
2016-07-19 20:39:33 status unpacked libsystemd0:arm64 229-4ubuntu4
2016-07-19 20:39:33 install libtinfo5:arm64 <none> 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 status half-installed libtinfo5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 status unpacked libtinfo5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 status unpacked libtinfo5:arm64 6.0+20160213-1ubuntu1
2016-07-19 20:39:33 install libudev1:arm64 <none> 229-4ubuntu4
2016-07-19 20:39:33 status half-installed libudev1:arm64 229-4ubuntu4
2016-07-19 20:39:33 status unpacked libudev1:arm64 229-4ubuntu4
2016-07-19 20:39:33 status unpacked libudev1:arm64 229-4ubuntu4
2016-07-19 20:39:33 install libustr-1.0-1:arm64 <none> 1.0.4-5
2016-07-19 20:39:33 status half-installed libustr-1.0-1:arm64 1.0.4-5
2016-07-19 20:39:34 status unpacked libustr-1.0-1:arm64 1.0.4-5
2016-07-19 20:39:34 status unpacked libustr-1.0-1:arm64 1.0.4-5
2016-07-19 20:39:34 install libuuid1:arm64 <none> 2.27.1-6ubuntu3
2016-07-19 20:39:34 status half-installed libuuid1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:34 status unpacked libuuid1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:34 status unpacked libuuid1:arm64 2.27.1-6ubuntu3
2016-07-19 20:39:34 install locales:all <none> 2.23-0ubuntu3
2016-07-19 20:39:34 status half-installed locales:all 2.23-0ubuntu3
2016-07-19 20:39:34 status unpacked locales:all 2.23-0ubuntu3
2016-07-19 20:39:34 status unpacked locales:all 2.23-0ubuntu3
2016-07-19 20:39:34 install login:arm64 <none> 1:4.2-3.1ubuntu5
2016-07-19 20:39:34 status half-installed login:arm64 1:4.2-3.1ubuntu5
2016-07-19 20:39:34 status unpacked login:arm64 1:4.2-3.1ubuntu5
2016-07-19 20:39:35 status unpacked login:arm64 1:4.2-3.1ubuntu5
2016-07-19 20:39:35 install lsb-base:all <none> 9.20160110
2016-07-19 20:39:35 status half-installed lsb-base:all 9.20160110
2016-07-19 20:39:35 status unpacked lsb-base:all 9.20160110
2016-07-19 20:39:35 status unpacked lsb-base:all 9.20160110
2016-07-19 20:39:35 install makedev:all <none> 2.3.1-93ubuntu1
